,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
9279,40,1017,1/10/17,False,Approved,Trek Bicycles,Road,medium,large,1894.19,US$ 598.76,37823.0
4363,52,1147,1/10/17,False,Approved,Solex,Road,medium,large,1777.8,US$ 820.78,33455.0
16553,62,2001,1/10/17,True,Approved,Solex,Standard,medium,medium,478.16,US$ 298.72,41701.0
13059,46,509,1/10/17,True,Approved,Solex,Standard,low,medium,1289.85,US$ 74.51,41064.0
9542,27,1032,1/10/17,True,Approved,Trek Bicycles,Standard,medium,medium,499.53,US$ 388.72,34527.0
4518,87,643,1/10/17,True,Approved,Giant Bicycles,Standard,high,medium,1179.0,US$ 707.40,35667.0
9622,71,2220,1/10/17,True,Approved,Solex,Standard,high,large,1842.92,"US$ 1,105.75",42710.0
4217,0,1509,1/10/17,True,Approved,Solex,Road,medium,medium,416.98,US$ 312.74,38991.0
736,42,669,1/10/17,True,Approved,OHM Cycles,Road,medium,small,1810.0,"US$ 1,610.90",39526.0
13368,0,1010,1/10/17,True,Approved,0,0,0,0,1315.16,0,0.0
4558,5,3163,1/10/17,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,US$ 459.71,40784.0
17558,0,3123,1/10/17,True,Approved,OHM Cycles,Standard,high,medium,227.88,US$ 136.73,37659.0
2281,2,2968,1/10/17,True,Approved,Giant Bicycles,Road,low,small,590.26,US$ 525.33,40487.0
7041,9,1879,1/10/17,True,Approved,Norco Bicycles,Standard,medium,small,1216.14,"US$ 1,082.36",33455.0
12275,53,244,1/10/17,True,Approved,OHM Cycles,Standard,medium,medium,795.34,US$ 101.58,35470.0
12272,51,3166,1/10/17,False,Approved,OHM Cycles,Standard,high,medium,2005.66,"US$ 1,203.40",41009.0
12233,0,1310,1/10/17,True,Approved,Trek Bicycles,Road,medium,medium,533.51,US$ 400.13,41064.0
6480,35,2664,1/10/17,False,Approved,Trek Bicycles,Standard,low,medium,1057.51,US$ 154.40,34527.0
12203,65,2860,1/10/17,False,Approved,WeareA2B,Standard,medium,medium,1807.45,US$ 778.69,42145.0
7142,82,3218,1/10/17,False,Approved,Norco Bicycles,Standard,high,medium,1148.64,US$ 689.18,41922.0
1783,9,3081,1/10/17,False,Approved,Norco Bicycles,Standard,medium,small,1216.14,"US$ 1,082.36",42696.0
7172,39,1541,1/10/17,False,Approved,Giant Bicycles,Standard,medium,large,1812.75,US$ 582.48,39427.0
7305,82,780,1/10/17,True,Approved,Norco Bicycles,Standard,high,medium,1148.64,US$ 689.18,42226.0
14316,59,2119,1/10/17,True,Approved,Solex,Standard,medium,large,1061.56,US$ 733.58,34170.0
18232,0,2647,1/10/17,False,Approved,Solex,Standard,medium,medium,100.35,US$ 75.26,36367.0
5373,71,2270,1/10/17,True,Approved,Solex,Standard,high,large,1842.92,"US$ 1,105.75",41434.0
7467,37,2702,1/10/17,False,Approved,OHM Cycles,Standard,low,medium,1793.43,US$ 248.82,39526.0
10340,29,2716,1/10/17,True,Approved,Norco Bicycles,Road,medium,medium,543.39,US$ 407.54,42696.0
10450,61,902,1/10/17,True,Approved,OHM Cycles,Standard,low,medium,71.16,US$ 56.93,42172.0
25,64,2596,1/10/17,False,Approved,Trek Bicycles,Standard,medium,large,1469.44,US$ 596.55,42145.0
5280,34,515,1/10/17,False,Approved,WeareA2B,Standard,medium,medium,1231.15,US$ 161.60,38216.0
11209,4,1808,1/10/17,False,Approved,Solex,Standard,medium,medium,1483.2,US$ 99.59,38216.0
5529,57,2982,1/10/17,False,Approved,WeareA2B,Touring,medium,large,1890.39,US$ 260.14,36146.0
15287,18,1297,1/10/17,True,Approved,Solex,Standard,medium,medium,575.27,US$ 431.45,41345.0
15146,22,1117,1/10/17,False,Approved,WeareA2B,Standard,medium,medium,60.34,US$ 45.26,34165.0
11333,34,2555,1/10/17,True,Approved,Norco Bicycles,Road,high,large,774.53,US$ 464.72,37698.0
18370,4,548,1/10/17,True,Approved,Solex,Standard,medium,medium,1483.2,US$ 99.59,40487.0
10429,42,1791,1/10/17,True,Approved,OHM Cycles,Road,medium,small,1810.0,"US$ 1,610.90",39427.0
7369,2,1745,1/10/17,True,Approved,Solex,Standard,medium,medium,71.49,US$ 53.62,41167.0
15942,98,2546,1/10/17,True,Approved,OHM Cycles,Standard,medium,medium,795.34,US$ 101.58,35470.0
3365,37,1153,1/10/17,False,Approved,OHM Cycles,Standard,low,medium,1793.43,US$ 248.82,35560.0
15114,92,1699,1/10/17,0,Approved,WeareA2B,Standard,medium,small,1415.01,"US$ 1,259.36",37626.0
2826,4,3326,1/10/17,False,Approved,Solex,Standard,medium,medium,1483.2,US$ 99.59,40410.0
2836,61,478,1/10/17,True,Approved,OHM Cycles,Standard,low,medium,71.16,US$ 56.93,33879.0
7539,28,428,1/10/17,False,Approved,Solex,Road,medium,small,1703.52,"US$ 1,516.13",34586.0
19222,5,190,1/10/17,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,US$ 459.71,40784.0
7548,17,2806,1/10/17,False,Approved,Solex,Standard,high,medium,1024.66,US$ 614.80,42404.0
15207,7,1508,1/10/17,False,Approved,Trek Bicycles,Road,low,medium,980.37,US$ 234.43,33549.0
18347,47,1302,1/10/17,True,Approved,Trek Bicycles,Road,low,small,1720.7,"US$ 1,531.42",38991.0
559,7,695,1/10/17,False,Approved,Giant Bicycles,Standard,medium,small,1311.44,"US$ 1,167.18",33888.0
5849,100,2930,1/10/17,True,Approved,Norco Bicycles,Road,medium,medium,1036.59,US$ 206.35,33364.0
3153,80,723,1/10/17,True,Approved,OHM Cycles,Touring,low,medium,1073.07,US$ 933.84,33429.0
6268,0,2121,1/10/17,False,Approved,0,0,0,0,1502.93,0,0.0
15723,3,3212,1/10/17,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,US$ 388.92,34996.0
12540,74,1708,1/11/17,False,Approved,WeareA2B,Standard,medium,medium,1762.96,US$ 950.52,42688.0
11229,7,2036,1/11/17,False,Approved,Trek Bicycles,Road,low,medium,980.37,US$ 234.43,38258.0
4677,67,2472,1/11/17,False,Approved,Solex,Standard,medium,large,1071.23,US$ 380.74,34165.0
3117,7,3176,1/11/17,False,Approved,Trek Bicycles,Road,low,medium,980.37,US$ 234.43,38258.0
15205,67,322,1/11/17,False,Approved,Norco Bicycles,Road,medium,medium,544.05,US$ 376.84,37499.0
4042,33,3362,1/11/17,False,Approved,Giant Bicycles,Standard,medium,small,1311.44,"US$ 1,167.18",33888.0
12775,33,2505,1/11/17,False,Approved,OHM Cycles,Road,medium,small,1810.0,"US$ 1,610.90",39526.0
1709,3,919,1/11/17,False,Approved,Trek Bicycles,Standard,medium,large,2091.47,US$ 388.92,37659.0
5616,98,2443,1/11/17,False,Approved,OHM Cycles,Standard,medium,medium,795.34,US$ 101.58,35470.0
13477,41,835,1/11/17,False,Approved,Solex,Road,medium,medium,416.98,US$ 312.74,39526.0
12763,61,3013,1/11/17,False,Approved,Norco Bicycles,Standard,medium,small,586.45,US$ 521.94,33429.0
6952,20,1677,1/11/17,False,Approved,Trek Bicycles,Standard,medium,small,1775.81,"US$ 1,580.47",34115.0
19658,22,2613,1/11/17,False,Approved,WeareA2B,Standard,medium,medium,60.34,US$ 45.26,40670.0
11037,78,2083,1/11/17,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,US$ 709.48,38193.0
6012,11,1385,1/11/17,False,Approved,Giant Bicycles,Standard,high,medium,1274.93,US$ 764.96,39298.0
10958,97,1389,1/11/17,True,Approved,Solex,Standard,medium,large,202.62,US$ 151.96,42458.0
15397,80,398,1/11/17,False,Approved,OHM Cycles,Touring,low,medium,1073.07,US$ 933.84,35455.0
6830,72,2365,1/11/17,False,Approved,Norco Bicycles,Standard,medium,medium,360.4,US$ 270.30,37499.0
13082,87,2180,1/11/17,True,Approved,OHM Cycles,Standard,medium,medium,1636.9,US$ 44.71,34996.0
5908,74,3482,1/11/17,True,Approved,WeareA2B,Standard,medium,medium,1228.07,US$ 400.91,42226.0
18859,15,2104,1/11/17,False,Approved,Norco Bicycles,Standard,low,medium,958.74,US$ 748.90,38693.0
7642,3,2799,1/11/17,False,Approved,Trek Bicycles,Standard,medium,large,2091.47,US$ 388.92,33549.0
4011,36,1332,1/11/17,False,Approved,Solex,Standard,low,medium,945.04,US$ 507.58,35560.0
13153,27,2607,1/11/17,True,Approved,Trek Bicycles,Standard,medium,medium,499.53,US$ 388.72,39031.0
19861,24,52,1/11/17,False,Approved,Solex,Road,medium,large,1777.8,US$ 820.78,34115.0
11772,58,2796,1/11/17,False,Approved,OHM Cycles,Standard,medium,medium,912.52,US$ 141.40,42295.0
16169,74,1298,1/11/17,False,Approved,WeareA2B,Standard,medium,medium,1228.07,US$ 400.91,36668.0
14791,17,947,1/11/17,True,Approved,Solex,Standard,high,medium,1024.66,US$ 614.80,35378.0
19831,20,1210,1/11/17,False,Approved,Trek Bicycles,Standard,medium,small,1775.81,"US$ 1,580.47",40303.0
10044,0,1944,1/11/17,True,Approved,0,0,0,0,330.91,0,0.0
11707,12,213,1/11/17,True,Approved,Giant Bicycles,Standard,medium,large,1765.3,US$ 709.48,37873.0
2331,37,658,1/11/17,False,Approved,OHM Cycles,Standard,low,medium,1793.43,US$ 248.82,35560.0
18521,1,2265,1/11/17,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,US$ 954.82,38573.0
16821,29,815,1/11/17,True,Approved,Norco Bicycles,Road,medium,medium,543.39,US$ 407.54,33888.0
6371,0,1714,1/11/17,False,Approved,Solex,Standard,medium,medium,71.49,US$ 53.62,41245.0
8411,88,429,1/11/17,True,Approved,Norco Bicycles,Standard,high,small,1661.92,"US$ 1,479.11",35160.0
14869,22,3500,1/11/17,False,Approved,WeareA2B,Standard,medium,medium,60.34,US$ 45.26,34165.0
1324,52,1298,1/11/17,True,Approved,OHM Cycles,Road,medium,medium,1280.28,US$ 829.51,37220.0
13987,21,565,1/11/17,False,Approved,Solex,Standard,medium,large,1071.23,US$ 380.74,34115.0
17605,0,208,1/11/17,True,Approved,OHM Cycles,Standard,medium,medium,235.63,US$ 125.07,38206.0
9916,58,3261,1/11/17,True,Approved,OHM Cycles,Standard,medium,medium,912.52,US$ 141.40,42295.0
5180,9,2359,1/11/17,True,Approved,Norco Bicycles,Standard,medium,small,1216.14,"US$ 1,082.36",37698.0
11884,0,548,1/11/17,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,US$ 270.30,35455.0
5137,14,1762,1/11/17,False,Approved,Trek Bicycles,Standard,medium,small,1386.84,"US$ 1,234.29",41345.0
491,90,547,1/11/17,True,Approved,Norco Bicycles,Standard,low,medium,363.01,US$ 290.41,38482.0
13879,73,471,1/11/17,False,Approved,Solex,Standard,medium,medium,1945.43,US$ 333.18,37499.0
13976,28,2807,1/11/17,True,Approved,Norco Bicycles,Standard,medium,small,1216.14,"US$ 1,082.36",34527.0
10182,43,361,1/11/17,False,Approved,Solex,Standard,medium,medium,1151.96,US$ 649.49,34071.0
19169,24,3058,1/11/17,False,Approved,Solex,Road,medium,large,1777.8,US$ 820.78,41047.0
3883,19,562,1/11/17,False,Approved,OHM Cycles,Road,high,large,12.01,US$ 7.21,39880.0
9914,10,2857,1/11/17,True,Approved,WeareA2B,Touring,medium,medium,1466.68,US$ 363.25,38216.0
11418,27,1555,1/11/17,True,Approved,Trek Bicycles,Standard,low,medium,1057.51,US$ 154.40,34527.0
5209,44,3450,1/11/17,True,Approved,WeareA2B,Standard,medium,medium,1769.64,US$ 108.76,40672.0
17139,1,1922,1/12/17,True,Approved,Giant Bicycles,Touring,medium,large,1873.97,US$ 863.95,35455.0
594,84,825,1/12/17,False,Approved,Trek Bicycles,Road,medium,medium,290.62,US$ 215.14,34079.0
5890,81,977,1/12/17,True,Approved,Solex,Standard,medium,medium,1151.96,US$ 649.49,38991.0
2196,90,2763,1/12/17,True,Approved,Norco Bicycles,Standard,low,medium,363.01,US$ 290.41,38002.0
18882,10,1597,1/12/17,False,Approved,WeareA2B,Touring,medium,medium,1466.68,US$ 363.25,41701.0
17246,0,633,1/12/17,False,Approved,Norco Bicycles,Standard,medium,medium,360.4,US$ 270.30,35455.0
18046,98,664,1/12/17,True,Approved,OHM Cycles,Standard,medium,medium,795.34,US$ 101.58,35470.0
11117,68,425,1/12/17,False,Approved,OHM Cycles,Standard,medium,medium,1636.9,US$ 44.71,40410.0
17465,1,659,1/12/17,True,Approved,Giant Bicycles,Standard,medium,medium,1403.5,US$ 954.82,41245.0
1349,86,2223,1/12/17,False,Approved,OHM Cycles,Standard,medium,medium,235.63,US$ 125.07,38206.0
2134,21,1880,1/12/17,False,Approved,WeareA2B,Touring,medium,medium,1466.68,US$ 363.25,41701.0
12172,15,2375,1/12/17,False,Approved,Norco Bicycles,Standard,low,medium,958.74,US$ 748.90,38693.0
6165,40,2882,1/12/17,True,Approved,OHM Cycles,Standard,high,medium,1458.17,US$ 874.90,38750.0
12643,24,532,1/12/17,0,Approved,Solex,Road,medium,large,1777.8,US$ 820.78,40670.0
12642,92,3263,1/12/17,True,Approved,WeareA2B,Standard,medium,small,1415.01,"US$ 1,259.36",37626.0
12598,66,817,1/12/17,True,Approved,Giant Bicycles,Road,low,small,590.26,US$ 525.33,40410.0
11254,0,2457,1/12/17,True,Approved,Solex,Standard,medium,medium,478.16,US$ 298.72,40410.0
9865,66,677,1/12/17,True,Approved,Giant Bicycles,Road,low,small,590.26,US$ 525.33,40487.0
19069,35,1647,1/12/17,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,US$ 954.82,42688.0
4870,36,3342,1/12/17,True,Approved,Solex,Standard,low,medium,945.04,US$ 507.58,35052.0
12379,54,1147,1/12/17,True,Approved,WeareA2B,Standard,medium,medium,1807.45,US$ 778.69,33879.0
10596,74,2051,1/12/17,True,Approved,WeareA2B,Standard,medium,medium,1228.07,US$ 400.91,36668.0
12392,61,2935,1/12/17,False,Approved,OHM Cycles,Standard,low,medium,71.16,US$ 56.93,42172.0
13088,82,719,1/12/17,True,Approved,Norco Bicycles,Standard,high,medium,1148.64,US$ 689.18,42226.0
9048,28,1985,1/12/17,False,Approved,Norco Bicycles,Standard,medium,small,1216.14,"US$ 1,082.36",37337.0
15373,0,2143,1/12/17,0,Approved,Giant Bicycles,Standard,medium,medium,230.91,US$ 173.18,36361.0
2223,50,333,1/12/17,True,Approved,WeareA2B,Standard,medium,small,175.89,US$ 131.92,37220.0
8723,26,607,1/12/17,True,Approved,WeareA2B,Standard,medium,medium,1992.93,US$ 762.63,34115.0
7841,40,2319,1/12/17,True,Approved,Trek Bicycles,Road,medium,large,1894.19,US$ 598.76,37823.0
13315,83,703,1/12/17,False,Approved,Solex,Touring,medium,large,2083.94,US$ 675.03,41533.0
17626,36,598,1/12/17,True,Approved,Solex,Standard,low,medium,1289.85,US$ 74.51,39427.0
3274,72,2718,1/12/17,True,Approved,OHM Cycles,Standard,medium,medium,912.52,US$ 141.40,40487.0
188,56,2713,1/12/17,True,Approved,OHM Cycles,Standard,medium,medium,183.86,US$ 137.90,34143.0
9141,28,793,1/12/17,False,Approved,Solex,Road,medium,small,1703.52,"US$ 1,516.13",40649.0
16004,0,129,1/12/17,True,Approved,Solex,Standard,medium,medium,71.49,US$ 53.62,38573.0
4081,0,637,1/12/17,True,Approved,WeareA2B,Standard,medium,medium,60.34,US$ 45.26,34165.0
8462,77,848,1/12/17,False,Approved,Norco Bicycles,Road,medium,large,1240.31,US$ 795.10,40553.0
2793,62,3499,1/12/17,False,Approved,Solex,Standard,medium,medium,478.16,US$ 298.72,36146.0
8997,22,1185,1/13/17,True,Approved,WeareA2B,Standard,medium,medium,60.34,US$ 45.26,40670.0
17602,0,1005,1/13/17,False,Approved,Norco Bicycles,Standard,medium,medium,360.4,US$ 270.30,38193.0
12547,63,2637,1/13/17,True,Approved,Solex,Standard,medium,medium,1483.2,US$ 99.59,40487.0
4769,31,2628,1/13/17,False,Approved,Giant Bicycles,Standard,medium,medium,230.91,US$ 173.18,39031.0
11050,39,1606,1/13/17,False,Approved,Giant Bicycles,Standard,medium,large,1812.75,US$ 582.48,36498.0
10555,27,1301,1/13/17,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,US$ 388.72,36334.0
147,14,3262,1/13/17,False,Approved,Trek Bicycles,Standard,medium,small,1386.84,"US$ 1,234.29",37838.0
14681,43,887,1/13/17,True,Approved,Norco Bicycles,Standard,medium,medium,1555.58,US$ 818.01,37873.0
12355,41,487,1/13/17,True,Approved,Solex,Road,medium,medium,416.98,US$ 312.74,35560.0
12320,98,179,1/13/17,True,Approved,OHM Cycles,Standard,medium,medium,795.34,US$ 101.58,40779.0
13610,34,2853,1/13/17,False,Approved,WeareA2B,Standard,medium,medium,1231.15,US$ 161.60,34586.0
19604,7,2249,1/13/17,True,Approved,Trek Bicycles,Road,low,medium,980.37,US$ 234.43,38258.0
2079,80,2977,1/13/17,True,Approved,OHM Cycles,Touring,low,medium,1073.07,US$ 933.84,35455.0
18448,0,3251,1/13/17,False,Approved,Giant Bicycles,Standard,medium,large,569.56,US$ 528.43,34556.0
3467,76,136,1/13/17,True,Approved,WeareA2B,Road,low,small,1172.78,"US$ 1,043.77",42458.0
18512,0,1674,1/13/17,True,Approved,Solex,Standard,medium,medium,100.35,US$ 75.26,36367.0
11906,100,1259,1/13/17,False,Approved,Norco Bicycles,Road,medium,medium,1036.59,US$ 206.35,33364.0
981,3,147,1/13/17,False,Approved,Trek Bicycles,Standard,medium,large,2091.47,US$ 388.92,38482.0
14271,66,2531,1/13/17,False,Approved,Solex,Standard,medium,medium,1163.89,US$ 589.27,41345.0
15931,95,1058,1/13/17,True,Approved,Giant Bicycles,Standard,medium,large,569.56,US$ 528.43,34556.0
8704,0,2814,1/13/17,False,Approved,Norco Bicycles,Road,medium,medium,544.05,US$ 376.84,37499.0
9309,21,1451,1/13/17,True,Approved,Solex,Standard,medium,large,1071.23,US$ 380.74,42404.0
12055,28,3267,1/13/17,False,Approved,Solex,Road,medium,small,1703.52,"US$ 1,516.13",38693.0
5379,53,1076,1/13/17,True,Approved,OHM Cycles,Standard,medium,medium,795.34,US$ 101.58,35470.0
18022,14,377,1/13/17,0,Approved,Trek Bicycles,Standard,medium,small,1386.84,"US$ 1,234.29",37838.0
5401,32,3450,1/13/17,True,Approved,Giant Bicycles,Standard,medium,medium,642.7,US$ 211.37,37337.0
1971,36,125,1/13/17,True,Approved,Solex,Standard,low,medium,945.04,US$ 507.58,35052.0
3007,18,2725,1/13/17,False,Approved,Solex,Standard,medium,medium,575.27,US$ 431.45,41345.0
18034,0,3495,1/13/17,True,Approved,Norco Bicycles,Road,medium,medium,544.05,US$ 376.84,38647.0
19793,0,2860,1/13/17,False,Approved,0,0,0,0,868.56,0,0.0
7183,0,2466,1/13/17,False,Approved,Solex,Standard,medium,medium,71.49,US$ 53.62,41245.0
10211,75,2446,1/13/17,False,Approved,Giant Bicycles,Touring,medium,large,1873.97,US$ 863.95,38859.0
10948,80,2819,1/13/17,True,Approved,OHM Cycles,Touring,low,medium,1073.07,US$ 933.84,35455.0
18937,53,995,1/13/17,False,Approved,OHM Cycles,Standard,medium,medium,795.34,US$ 101.58,38859.0
9594,8,1914,1/13/17,False,Approved,Solex,Road,medium,small,1703.52,"US$ 1,516.13",40649.0
4508,79,1494,1/13/17,True,Approved,Norco Bicycles,Standard,medium,medium,1555.58,US$ 818.01,35667.0
15489,64,117,1/13/17,True,Approved,Trek Bicycles,Standard,medium,large,1469.44,US$ 596.55,36668.0
12832,74,3035,1/13/17,False,Approved,WeareA2B,Standard,medium,medium,1762.96,US$ 950.52,41848.0
211,80,1596,1/13/17,False,Approved,Trek Bicycles,Standard,medium,large,1469.44,US$ 596.55,38647.0
9437,89,2071,1/13/17,True,Approved,WeareA2B,Touring,medium,large,1362.99,US$ 57.74,34079.0
10685,28,2812,1/13/17,True,Approved,Solex,Road,medium,small,1703.52,"US$ 1,516.13",38693.0
9185,71,1346,1/13/17,True,Approved,Solex,Standard,high,large,1842.92,"US$ 1,105.75",34996.0
10980,1,2008,1/13/17,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,US$ 954.82,41245.0
4157,26,1250,1/13/17,False,Approved,WeareA2B,Standard,medium,medium,1992.93,US$ 762.63,34115.0
